电导率,2020/10/13 星期二,16:50:40,1375,μS/cm,25.9,°C
电导率,2020/10/13 星期二,16:51:41,1416,μS/cm,28.7,°C
电导率,2020/10/13 星期二,16:52:41,1430,μS/cm,29.8,°C
电导率,2020/10/13 星期二,16:53:41,1439,μS/cm,30.6,°C
电导率,2020/10/13 星期二,16:54:42,1446,μS/cm,31.2,°C
电导率,2020/10/13 星期二,16:55:42,1450,μS/cm,31.7,°C
电导率,2020/10/13 星期二,16:56:42,1453,μS/cm,32.1,°C
电导率,2020/10/13 星期二,16:57:43,1455,μS/cm,32.3,°C
电导率,2020/10/13 星期二,16:58:43,1457,μS/cm,32.6,°C
电导率,2020/10/13 星期二,16:59:43,1458,μS/cm,32.8,°C
电导率,2020/10/13 星期二,17:00:44,1460,μS/cm,32.9,°C
电导率,2020/10/13 星期二,17:01:44,1462,μS/cm,33.1,°C
电导率,2020/10/13 星期二,17:02:44,1465,μS/cm,33.2,°C
电导率,2020/10/13 星期二,17:03:45,1463,μS/cm,33.3,°C
电导率,2020/10/13 星期二,17:04:45,1459,μS/cm,33.4,°C
电导率,2020/10/13 星期二,17:05:45,1463,μS/cm,33.5,°C
电导率,2020/10/13 星期二,17:06:45,1464,μS/cm,33.6,°C
电导率,2020/10/13 星期二,17:07:46,1463,μS/cm,33.6,°C
电导率,2020/10/13 星期二,17:08:46,1458,μS/cm,33.7,°C
电导率,2020/10/13 星期二,17:09:46,1461,μS/cm,33.7,°C
电导率,2020/10/13 星期二,17:10:47,1462,μS/cm,33.8,°C
电导率,2020/10/13 星期二,17:11:47,1451,μS/cm,33.8,°C
电导率,2020/10/13 星期二,17:12:47,1451,μS/cm,33.8,°C
电导率,2020/10/13 星期二,17:13:48,1458,μS/cm,33.9,°C
电导率,2020/10/13 星期二,17:13:56,1459,μS/cm,33.9,°C
